id,job_id,batch_id,source_row,email,domain,provider_family,verp_token,message_id,sent_at,state,dsn_status,dsn_received_at,dsn_diagnostic,dsn_smtp_code,last_polled_at,created_at,updated_at
1,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1000,alice.thompson@gmail.com,gmail.com,gmail,89e9d7e262f488ee1105cd49,<89e9d7e262f488ee1105cd49c0676f54@fuenmayorindustries.com>,2026-05-04T14:01:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:01:00+00:00
2,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1001,bryan.kim@gmail.com,gmail.com,gmail,0c7574507d71656639fb3f9b,<0c7574507d71656639fb3f9b1ddf79d5@fuenmayorindustries.com>,2026-05-04T14:02:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:02:00+00:00
3,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1002,carol.santos@gmail.com,gmail.com,gmail,97ef98ff7e55fc095e1ca680,<97ef98ff7e55fc095e1ca6800471bb00@fuenmayorindustries.com>,2026-05-04T14:03:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:03:00+00:00
4,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1003,david.nguyen@gmail.com,gmail.com,gmail,cb51a5c673cfc5977553b800,<cb51a5c673cfc5977553b800ad6d59ba@fuenmayorindustries.com>,2026-05-04T14:04:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:04:00+00:00
5,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1004,erica.murphy@gmail.com,gmail.com,gmail,2d7ec897de425a01e30591e3,<2d7ec897de425a01e30591e388954746@fuenmayorindustries.com>,2026-05-04T14:05:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:05:00+00:00
6,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1005,frank.delgado@gmail.com,gmail.com,gmail,b428fdcfdf9b7bc4c2c33629,<b428fdcfdf9b7bc4c2c336291cb96c84@fuenmayorindustries.com>,2026-05-04T14:06:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:06:00+00:00
7,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1006,gina.holloway@gmail.com,gmail.com,gmail,6c896fe493d409044407a860,<6c896fe493d409044407a860fadfc527@fuenmayorindustries.com>,2026-05-04T14:07:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:07:00+00:00
8,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1007,henry.park@gmail.com,gmail.com,gmail,f74963675e8ca8e57ccabefb,<f74963675e8ca8e57ccabefbc98072b7@fuenmayorindustries.com>,2026-05-04T14:08:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:08:00+00:00
9,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1008,ivy.rasmussen@gmail.com,gmail.com,gmail,01c0217364c6bb90391222f4,<01c0217364c6bb90391222f477a101c8@fuenmayorindustries.com>,2026-05-04T14:09:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:09:00+00:00
10,job-2026-05-04-acme-pilot-001,b0a3f7c91e2a,1009,jack.osborne@gmail.com,gmail.com,gmail,4ce54033705f982250f3bcb1,<4ce54033705f982250f3bcb1eb39b2d7@fuenmayorindustries.com>,2026-05-04T14:10:00+00:00,sent,,,,,2026-05-06T08:00:00+00:00,2026-05-04T14:00:00+00:00,2026-05-04T14:10:00+00:00
